Id,Label,d0,modularity_class,Weighted Degree
fried  potato,fried  potato,ingredient,1,6
"hummu ","hummu ",ingredient,0,10
"bluefish ","bluefish ",ingredient,4,9
"quail ","quail ",ingredient,4,33
smoked  fish,smoked  fish,ingredient,4,29
"toffee ","toffee ",ingredient,4,14
"tumeric ","tumeric ",ingredient,0,6
"corn starch ","corn starch ",ingredient,1,6
"vinegar cider ","vinegar cider ",ingredient,4,8
"squab ","squab ",ingredient,4,8
"broccolini ","broccolini ",ingredient,1,16
haricot  bean,haricot  bean,ingredient,4,22
port wine,port wine,ingredient,4,67
"bagel ","bagel ",ingredient,4,8
"pea chick ","pea chick ",ingredient,0,22
"orange oil ","orange oil ",ingredient,4,7
puree  tomato,puree  tomato,ingredient,4,32
star  anise,star  anise,ingredient,2,11
"asafetida ","asafetida ",ingredient,0,14
sea  cucumber,sea  cucumber,ingredient,1,5
gram  bean,gram  bean,ingredient,3,13
"codfish ","codfish ",ingredient,2,7
irish  mos,irish  mos,ingredient,4,6
"guinea hen ","guinea hen ",ingredient,4,3
"crayfish ","crayfish ",ingredient,4,5
"arctic char ","arctic char ",ingredient,4,8
"brandy pear ","brandy pear ",ingredient,4,5
armagnac brandy,armagnac brandy,ingredient,4,9
"boysenberry ","boysenberry ",ingredient,4,10
"salsify ","salsify ",ingredient,4,5
"cider ","cider ",ingredient,4,17
verbena lemon,verbena lemon,ingredient,4,3
"verbena lemon ","verbena lemon ",ingredient,4,6
"porcini ","porcini ",ingredient,3,16
"lady finger ","lady finger ",ingredient,3,7
"fudge ","fudge ",ingredient,4,7
"frankfurter sausage ","frankfurter sausage ",ingredient,4,2
"piecrust ","piecrust ",ingredient,4,7
"candy bar ","candy bar ",ingredient,4,9
canola oil,canola oil,ingredient,4,2
"raspberry brandy ","raspberry brandy ",ingredient,4,5
"sturgeon ","sturgeon ",ingredient,0,5
american  pokeweed,american  pokeweed,ingredient,4,5
guinea hen,guinea hen,ingredient,0,2
gratin  potato,gratin  potato,ingredient,4,10
